figure,sample,party,outcome,term,estimate,std.error,conf.low,conf.high
figure_2,Monolingual Sample,Democratic Respondents,like_coffman,Z_coffman,-0.701885891620912,0.11405724247148603,-0.9259038811603063,-0.47786790208151764
figure_2,Monolingual Sample,Democratic Respondents,vela_cares,Z_vela,-0.1125640870981361,0.031945842319174474,-0.1753090898275219,-0.049819084368750294
figure_2,Monolingual Sample,Democratic Respondents,coffman_cares,Z_coffman,-0.1326337956575411,0.037354948441898954,-0.20600312370629867,-0.05926446760878354
figure_2,Monolingual Sample,Democratic Respondents,conf_in_vela,Z_vela,-0.18067711839953854,0.06248812578615172,-0.30340993527425175,-0.05794430152482531
figure_2,Monolingual Sample,Democratic Respondents,conf_in_coffman,Z_coffman,-0.1786031974996997,0.06671197770806629,-0.3096320744324845,-0.04757432056691485
figure_2,Bilingual Sample,Republican Respondents,vela_general,Z_vela,-0.01022954091816367,0.049551627154422156,-0.10770321290941896,0.08724413107309163
figure_2,Bilingual Sample,Republican Respondents,coffman_general,Z_coffman,0.02232142857142857,0.04519955091948885,-0.06659121574493698,0.11123407288779413
figure_2,Bilingual Sample,Republican Respondents,like_vela,Z_vela,-0.24675648702594868,0.15993706142617867,-0.5613708308923401,0.06785785684044274
figure_2,Bilingual Sample,Republican Respondents,like_coffman,Z_coffman,-0.3030357142857147,0.15932088003750797,-0.6164379594579658,0.010366530886536385
figure_2,Bilingual Sample,Republican Respondents,vela_cares,Z_vela,-0.04925862560593114,0.047437794707053206,-0.14257414936973867,0.04405689815787639
figure_2,Bilingual Sample,Republican Respondents,coffman_cares,Z_coffman,-0.054999999999999834,0.03892191438828093,-0.13156382109374243,0.021563821093742767
figure_2,Bilingual Sample,Republican Respondents,conf_in_vela,Z_vela,-0.07338893641288878,0.09594883252691074,-0.26213117489732846,0.11535330207155091
figure_2,Bilingual Sample,Republican Respondents,conf_in_coffman,Z_coffman,-0.1391071428571427,0.08356617982753022,-0.3034912987333237,0.025277013019038314
figure_2,Monolingual Sample,Republican Respondents,vela_general,Z_vela,-0.011212997109538533,0.030627879612564055,-0.07139148438989806,0.048965490170821
figure_2,Monolingual Sample,Republican Respondents,coffman_general,Z_coffman,-0.1677746441042175,0.03999238458118402,-0.24635276434218426,-0.08919652386625074
figure_2,Monolingual Sample,Republican Respondents,like_vela,Z_vela,-0.399033190471445,0.11838338541043486,-0.6316360720044296,-0.16643030893846028
figure_2,Monolingual Sample,Republican Respondents,like_coffman,Z_coffman,-1.0036090124123043,0.12273401704834816,-1.244761358879168,-0.7624566659454406
figure_2,Monolingual Sample,Republican Respondents,vela_cares,Z_vela,-0.22561056986520722,0.0433434701954012,-0.3107734268547255,-0.14044771287568897
figure_2,Monolingual Sample,Republican Respondents,coffman_cares,Z_coffman,-0.18142876416621695,0.03696151451232155,-0.2540521180494698,-0.10880541028296409
figure_2,Monolingual Sample,Republican Respondents,conf_in_vela,Z_vela,-0.1921793674095821,0.07947848750243837,-0.3483416459350227,-0.03601708888414154
figure_2,Monolingual Sample,Republican Respondents,conf_in_coffman,Z_coffman,-0.4909697750067772,0.0726894066460423,-0.6337933449271133,-0.3481462050864411
