table_figure,column,stat,value_script
table_8,vela_bilingual,Z_survey,0.011
table_8,vela_bilingual,Z_survey_se,0.038
table_8,coffman_bilingual,Z_survey,-0.084
table_8,coffman_bilingual,Z_survey_se,0.041
table_8,bush_bilingual,constant,1.768
table_8,bush_bilingual,constant_se,0.035
table_8,vela_bilingual,constant,1.915
table_8,vela_bilingual,constant_se,0.033
table_8,vela_monolingual,constant,1.73
table_8,vela_monolingual,constant_se,0.031
table_8,coffman_bilingual,constant,1.814
table_8,coffman_bilingual,constant_se,0.034
table_8,coffman_monolingual,constant,1.966
table_8,coffman_monolingual,constant_se,0.029
table_8,bush_bilingual,N,1861
table_8,vela_bilingual,N,1680
table_8,vela_monolingual,N,1338
table_8,coffman_bilingual,N,1679
table_8,coffman_monolingual,N,1338
table_9,bush_bilingual,Z_survey,0.243
table_9,bush_bilingual,Z_survey_se,0.04
table_9,vela_coffman_bilingual,Z_survey,0.131
table_9,vela_coffman_bilingual,Z_survey_se,0.041
table_9,bush_bilingual,constant,2.08
table_9,bush_bilingual,constant_se,0.031
table_9,vela_coffman_bilingual,constant,2.106
table_9,vela_coffman_bilingual,constant_se,0.031
table_9,bush_bilingual,N,1861
table_9,vela_coffman_bilingual,N,1681
table_a1,bush_bilingual,Z_ad,0.061
table_a1,bush_bilingual,Z_ad_se,0.032
table_a1,vela_bilingual,Z_ad,0.075
table_a1,vela_bilingual,Z_ad_se,0.033
table_a1,coffman_bilingual,Z_ad,-0.039
table_a1,coffman_bilingual,Z_ad_se,0.033
table_a1,bush_bilingual,Z_survey,0.018
table_a1,bush_bilingual,Z_survey_se,0.033
table_a1,vela_bilingual,Z_survey,0.1
table_a1,vela_bilingual,Z_survey_se,0.034
table_a1,coffman_bilingual,Z_survey,-0.069
table_a1,coffman_bilingual,Z_survey_se,0.033
table_a1,bush_bilingual,interaction,-0.024
table_a1,bush_bilingual,interaction_se,0.046
table_a1,vela_bilingual,interaction,-0.055
table_a1,vela_bilingual,interaction_se,0.048
table_a1,coffman_bilingual,interaction,0.087
table_a1,coffman_bilingual,interaction_se,0.047
table_a1,bush_bilingual,constant,0.443
table_a1,bush_bilingual,constant_se,0.023
table_a1,vela_bilingual,constant,0.522
table_a1,vela_bilingual,constant_se,0.024
table_a1,coffman_bilingual,constant,0.404
table_a1,coffman_bilingual,constant_se,0.023
table_a1,bush_bilingual,N,1849
table_a1,vela_bilingual,N,1680
table_a1,coffman_bilingual,N,1681
table_a2,bush_bilingual,Z_ad,0.034
table_a2,bush_bilingual,Z_ad_se,0.028
table_a2,vela_bilingual,Z_ad,0.013
table_a2,vela_bilingual,Z_ad_se,0.022
table_a2,coffman_bilingual,Z_ad,0.051
table_a2,coffman_bilingual,Z_ad_se,0.029
table_a2,bush_bilingual,Z_survey,-0.038
table_a2,bush_bilingual,Z_survey_se,0.03
table_a2,vela_bilingual,Z_survey,-0.029
table_a2,vela_bilingual,Z_survey_se,0.024
table_a2,coffman_bilingual,Z_survey,-0.028
table_a2,coffman_bilingual,Z_survey_se,0.03
table_a2,bush_bilingual,interaction,0.007
table_a2,bush_bilingual,interaction_se,0.041
table_a2,vela_bilingual,interaction,0.011
table_a2,vela_bilingual,interaction_se,0.034
table_a2,coffman_bilingual,interaction,-0.034
table_a2,coffman_bilingual,interaction_se,0.043
table_a2,bush_bilingual,constant,0.736
table_a2,bush_bilingual,constant_se,0.021
table_a2,vela_bilingual,constant,0.867
table_a2,vela_bilingual,constant_se,0.016
table_a2,coffman_bilingual,constant,0.736
table_a2,coffman_bilingual,constant_se,0.021
table_a2,bush_bilingual,N,1858
table_a2,vela_bilingual,N,1680
table_a2,coffman_bilingual,N,1680
table_a3,bush_bilingual,Z_ad,0.135
table_a3,bush_bilingual,Z_ad_se,0.058
table_a3,vela_bilingual,Z_ad,0.107
table_a3,vela_bilingual,Z_ad_se,0.052
table_a3,coffman_bilingual,Z_ad,-0.04
table_a3,coffman_bilingual,Z_ad_se,0.056
table_a3,bush_bilingual,Z_survey,0.043
table_a3,bush_bilingual,Z_survey_se,0.058
table_a3,vela_bilingual,Z_survey,0.016
table_a3,vela_bilingual,Z_survey_se,0.054
table_a3,coffman_bilingual,Z_survey,-0.154
table_a3,coffman_bilingual,Z_survey_se,0.057
table_a3,bush_bilingual,interaction,-0.121
table_a3,bush_bilingual,interaction_se,0.083
table_a3,vela_bilingual,interaction,-0.01
table_a3,vela_bilingual,interaction_se,0.076
table_a3,coffman_bilingual,interaction,0.146
table_a3,coffman_bilingual,interaction_se,0.082
table_a3,bush_bilingual,constant,1.738
table_a3,bush_bilingual,constant_se,0.041
table_a3,vela_bilingual,constant,1.913
table_a3,vela_bilingual,constant_se,0.037
table_a3,coffman_bilingual,constant,1.848
table_a3,coffman_bilingual,constant_se,0.038
table_a3,bush_bilingual,N,1861
table_a3,vela_bilingual,N,1680
table_a3,coffman_bilingual,N,1679
table_a4,bush_bilingual,Z_ad,0.248
table_a4,bush_bilingual,Z_ad_se,0.101
table_a4,vela_bilingual,Z_ad,0.166
table_a4,vela_bilingual,Z_ad_se,0.093
table_a4,coffman_bilingual,Z_ad,-0.089
table_a4,coffman_bilingual,Z_ad_se,0.104
table_a4,bush_bilingual,Z_survey,0.249
table_a4,bush_bilingual,Z_survey_se,0.107
table_a4,vela_bilingual,Z_survey,0.25
table_a4,vela_bilingual,Z_survey_se,0.092
table_a4,coffman_bilingual,Z_survey,-0.016
table_a4,coffman_bilingual,Z_survey_se,0.111
table_a4,bush_bilingual,interaction,-0.166
table_a4,bush_bilingual,interaction_se,0.151
table_a4,vela_bilingual,interaction,-0.206
table_a4,vela_bilingual,interaction_se,0.135
table_a4,coffman_bilingual,interaction,0.226
table_a4,coffman_bilingual,interaction_se,0.155
table_a4,bush_bilingual,constant,4.768
table_a4,bush_bilingual,constant_se,0.072
table_a4,vela_bilingual,constant,4.945
table_a4,vela_bilingual,constant_se,0.065
table_a4,coffman_bilingual,constant,4.954
table_a4,coffman_bilingual,constant_se,0.076
table_a4,bush_bilingual,N,1862
table_a4,vela_bilingual,N,1680
table_a4,coffman_bilingual,N,1680
table_b5,vela_bilingual_democrat,Z_ad,0.064
table_b5,vela_bilingual_democrat,Z_ad_se,0.026
table_b5,vela_bilingual_republican,Z_ad,-0.01
table_b5,vela_bilingual_republican,Z_ad_se,0.05
table_b5,vela_monolingual_democrat,Z_ad,-0.044
table_b5,vela_monolingual_democrat,Z_ad_se,0.04
table_b5,vela_monolingual_republican,Z_ad,-0.011
table_b5,vela_monolingual_republican,Z_ad_se,0.031
table_b5,coffman_bilingual_democrat,Z_ad,-0.003
table_b5,coffman_bilingual_democrat,Z_ad_se,0.027
table_b5,coffman_bilingual_republican,Z_ad,0.022
table_b5,coffman_bilingual_republican,Z_ad_se,0.045
table_b5,coffman_monolingual_democrat,Z_ad,-0.141
table_b5,coffman_monolingual_democrat,Z_ad_se,0.033
table_b5,coffman_monolingual_republican,Z_ad,-0.168
table_b5,coffman_monolingual_republican,Z_ad_se,0.04
table_b5,vela_bilingual_democrat,constant,0.744
table_b5,vela_bilingual_democrat,constant_se,0.019
table_b5,vela_bilingual_republican,constant,0.292
table_b5,vela_bilingual_republican,constant_se,0.035
table_b5,vela_monolingual_democrat,constant,0.648
table_b5,vela_monolingual_democrat,constant_se,0.029
table_b5,vela_monolingual_republican,constant,0.138
table_b5,vela_monolingual_republican,constant_se,0.022
table_b5,coffman_bilingual_democrat,constant,0.248
table_b5,coffman_bilingual_democrat,constant_se,0.019
table_b5,coffman_bilingual_republican,constant,0.771
table_b5,coffman_bilingual_republican,constant_se,0.032
table_b5,coffman_monolingual_democrat,constant,0.281
table_b5,coffman_monolingual_democrat,constant_se,0.026
table_b5,coffman_monolingual_republican,constant,0.816
table_b5,coffman_monolingual_republican,constant_se,0.024
table_b5,vela_bilingual_democrat,N,1029
table_b5,vela_bilingual_republican,N,335
table_b5,vela_monolingual_democrat,N,579
table_b5,vela_monolingual_republican,N,491
table_b5,coffman_bilingual_democrat,N,1029
table_b5,coffman_bilingual_republican,N,335
table_b5,coffman_monolingual_democrat,N,579
table_b5,coffman_monolingual_republican,N,491
table_b6,vela_bilingual_democrat,Z_ad,0.116
table_b6,vela_bilingual_democrat,Z_ad_se,0.082
table_b6,vela_bilingual_republican,Z_ad,-0.247
table_b6,vela_bilingual_republican,Z_ad_se,0.16
table_b6,vela_monolingual_democrat,Z_ad,-0.608
table_b6,vela_monolingual_democrat,Z_ad_se,0.102
table_b6,vela_monolingual_republican,Z_ad,-0.399
table_b6,vela_monolingual_republican,Z_ad_se,0.118
table_b6,coffman_bilingual_democrat,Z_ad,0.146
table_b6,coffman_bilingual_democrat,Z_ad_se,0.102
table_b6,coffman_bilingual_republican,Z_ad,-0.303
table_b6,coffman_bilingual_republican,Z_ad_se,0.159
table_b6,coffman_monolingual_democrat,Z_ad,-0.702
table_b6,coffman_monolingual_democrat,Z_ad_se,0.114
table_b6,coffman_monolingual_republican,Z_ad,-1.004
table_b6,coffman_monolingual_republican,Z_ad_se,0.123
table_b6,vela_bilingual_democrat,constant,5.317
table_b6,vela_bilingual_democrat,constant_se,0.057
table_b6,vela_bilingual_republican,constant,4.792
table_b6,vela_bilingual_republican,constant_se,0.109
table_b6,vela_monolingual_democrat,constant,5.129
table_b6,vela_monolingual_democrat,constant_se,0.078
table_b6,vela_monolingual_republican,constant,4.437
table_b6,vela_monolingual_republican,constant_se,0.081
table_b6,coffman_bilingual_democrat,constant,4.722
table_b6,coffman_bilingual_democrat,constant_se,0.072
table_b6,coffman_bilingual_republican,constant,5.634
table_b6,coffman_bilingual_republican,constant_se,0.112
table_b6,coffman_monolingual_democrat,constant,4.969
table_b6,coffman_monolingual_democrat,constant_se,0.086
table_b6,coffman_monolingual_republican,constant,5.467
table_b6,coffman_monolingual_republican,constant_se,0.083
table_b6,vela_bilingual_democrat,N,1028
table_b6,vela_bilingual_republican,N,335
table_b6,vela_monolingual_democrat,N,578
table_b6,vela_monolingual_republican,N,491
table_b6,coffman_bilingual_democrat,N,1029
table_b6,coffman_bilingual_republican,N,335
table_b6,coffman_monolingual_democrat,N,579
table_b6,coffman_monolingual_republican,N,490
table_b7,vela_bilingual_democrat,Z_ad,0.04
table_b7,vela_bilingual_democrat,Z_ad_se,0.017
table_b7,vela_bilingual_republican,Z_ad,-0.049
table_b7,vela_bilingual_republican,Z_ad_se,0.047
table_b7,vela_monolingual_democrat,Z_ad,-0.113
table_b7,vela_monolingual_democrat,Z_ad_se,0.032
table_b7,vela_monolingual_republican,Z_ad,-0.226
table_b7,vela_monolingual_republican,Z_ad_se,0.043
table_b7,coffman_bilingual_democrat,Z_ad,0.078
table_b7,coffman_bilingual_democrat,Z_ad_se,0.028
table_b7,coffman_bilingual_republican,Z_ad,-0.055
table_b7,coffman_bilingual_republican,Z_ad_se,0.039
table_b7,coffman_monolingual_democrat,Z_ad,-0.133
table_b7,coffman_monolingual_democrat,Z_ad_se,0.037
table_b7,coffman_monolingual_republican,Z_ad,-0.181
table_b7,coffman_monolingual_republican,Z_ad_se,0.037
table_b7,vela_bilingual_democrat,constant,0.895
table_b7,vela_bilingual_democrat,constant_se,0.013
table_b7,vela_bilingual_republican,constant,0.774
table_b7,vela_bilingual_republican,constant_se,0.032
table_b7,vela_monolingual_democrat,constant,0.872
table_b7,vela_monolingual_democrat,constant_se,0.02
table_b7,vela_monolingual_republican,constant,0.709
table_b7,vela_monolingual_republican,constant_se,0.029
table_b7,coffman_bilingual_democrat,constant,0.662
table_b7,coffman_bilingual_democrat,constant_se,0.02
table_b7,coffman_bilingual_republican,constant,0.88
table_b7,coffman_bilingual_republican,constant_se,0.025
table_b7,coffman_monolingual_democrat,constant,0.782
table_b7,coffman_monolingual_democrat,constant_se,0.024
table_b7,coffman_monolingual_republican,constant,0.879
table_b7,coffman_monolingual_republican,constant_se,0.02
table_b7,vela_bilingual_democrat,N,1029
table_b7,vela_bilingual_republican,N,335
table_b7,vela_monolingual_democrat,N,576
table_b7,vela_monolingual_republican,N,490
table_b7,coffman_bilingual_democrat,N,1029
table_b7,coffman_bilingual_republican,N,335
table_b7,coffman_monolingual_democrat,N,575
table_b7,coffman_monolingual_republican,N,490
table_b8,vela_bilingual_democrat,Z_ad,0.11
table_b8,vela_bilingual_democrat,Z_ad_se,0.042
table_b8,vela_bilingual_republican,Z_ad,-0.073
table_b8,vela_bilingual_republican,Z_ad_se,0.096
table_b8,vela_monolingual_democrat,Z_ad,-0.181
table_b8,vela_monolingual_democrat,Z_ad_se,0.062
table_b8,vela_monolingual_republican,Z_ad,-0.192
table_b8,vela_monolingual_republican,Z_ad_se,0.079
table_b8,coffman_bilingual_democrat,Z_ad,0.128
table_b8,coffman_bilingual_democrat,Z_ad_se,0.052
table_b8,coffman_bilingual_republican,Z_ad,-0.139
table_b8,coffman_bilingual_republican,Z_ad_se,0.084
table_b8,coffman_monolingual_democrat,Z_ad,-0.179
table_b8,coffman_monolingual_democrat,Z_ad_se,0.067
table_b8,coffman_monolingual_republican,Z_ad,-0.491
table_b8,coffman_monolingual_republican,Z_ad_se,0.073
table_b8,vela_bilingual_democrat,constant,2.076
table_b8,vela_bilingual_democrat,constant_se,0.029
table_b8,vela_bilingual_republican,constant,1.744
table_b8,vela_bilingual_republican,constant_se,0.071
table_b8,vela_monolingual_democrat,constant,2.032
table_b8,vela_monolingual_democrat,constant_se,0.041
table_b8,vela_monolingual_republican,constant,1.48
table_b8,vela_monolingual_republican,constant_se,0.052
table_b8,coffman_bilingual_democrat,constant,1.65
table_b8,coffman_bilingual_democrat,constant_se,0.036
table_b8,coffman_bilingual_republican,constant,2.183
table_b8,coffman_bilingual_republican,constant_se,0.051
table_b8,coffman_monolingual_democrat,constant,1.895
table_b8,coffman_monolingual_democrat,constant_se,0.047
table_b8,coffman_monolingual_republican,constant,2.099
table_b8,coffman_monolingual_republican,constant_se,0.043
table_b8,vela_bilingual_democrat,N,1029
table_b8,vela_bilingual_republican,N,335
table_b8,vela_monolingual_democrat,N,577
table_b8,vela_monolingual_republican,N,490
table_b8,coffman_bilingual_democrat,N,1028
table_b8,coffman_bilingual_republican,N,335
table_b8,coffman_monolingual_democrat,N,577
table_b8,coffman_monolingual_republican,N,489
table_c9,bush_bilingual,Z_ad,0.196
table_c9,bush_bilingual,Z_ad_se,0.093
table_c9,vela_bilingual,Z_ad,0.203
table_c9,vela_bilingual,Z_ad_se,0.1
table_c9,vela_monolingual,Z_ad,-0.088
table_c9,vela_monolingual,Z_ad_se,0.114
table_c9,coffman_bilingual,Z_ad,0.012
table_c9,coffman_bilingual,Z_ad_se,0.101
table_c9,coffman_monolingual,Z_ad,-0.78
table_c9,coffman_monolingual,Z_ad_se,0.113
table_c9,bush_bilingual,Z_survey,0.022
table_c9,bush_bilingual,Z_survey_se,0.093
table_c9,vela_bilingual,Z_survey,0.304
table_c9,vela_bilingual,Z_survey_se,0.1
table_c9,coffman_bilingual,Z_survey,-0.119
table_c9,coffman_bilingual,Z_survey_se,0.101
table_c9,bush_bilingual,constant,-0.203
table_c9,bush_bilingual,constant_se,0.081
table_c9,vela_bilingual,constant,0.137
table_c9,vela_bilingual,constant_se,0.084
table_c9,vela_monolingual,constant,-0.55
table_c9,vela_monolingual,constant_se,0.08
table_c9,coffman_bilingual,constant,-0.471
table_c9,coffman_bilingual,constant_se,0.085
table_c9,coffman_monolingual,constant,0.051
table_c9,coffman_monolingual,constant_se,0.075
table_c9,bush_bilingual,N,1849
table_c9,vela_bilingual,N,1680
table_c9,vela_monolingual,N,1343
table_c9,coffman_bilingual,N,1681
table_c9,coffman_monolingual,N,1343
table_c9,bush_bilingual,log_likelihood,-1277.43
table_c9,vela_bilingual,log_likelihood,-1128.434
table_c9,vela_monolingual,log_likelihood,-874.043
table_c9,coffman_bilingual,log_likelihood,-1109.128
table_c9,coffman_monolingual,log_likelihood,-891.265
table_c9,bush_bilingual,aic,2560.86
table_c9,vela_bilingual,aic,2262.869
table_c9,vela_monolingual,aic,1752.085
table_c9,coffman_bilingual,aic,2224.255
table_c9,coffman_monolingual,aic,1786.53
table_c10,bush_bilingual,Z_ad,0.193
table_c10,bush_bilingual,Z_ad_se,0.106
table_c10,vela_bilingual,Z_ad,0.148
table_c10,vela_bilingual,Z_ad_se,0.142
table_c10,vela_monolingual,Z_ad,-0.743
table_c10,vela_monolingual,Z_ad_se,0.123
table_c10,coffman_bilingual,Z_ad,0.18
table_c10,coffman_bilingual,Z_ad_se,0.112
table_c10,coffman_monolingual,Z_ad,-0.82
table_c10,coffman_monolingual,Z_ad_se,0.128
table_c10,bush_bilingual,Z_survey,-0.179
table_c10,bush_bilingual,Z_survey_se,0.105
table_c10,vela_bilingual,Z_survey,-0.201
table_c10,vela_bilingual,Z_survey_se,0.142
table_c10,coffman_bilingual,Z_survey,-0.233
table_c10,coffman_bilingual,Z_survey_se,0.111
table_c10,bush_bilingual,constant,1.02
table_c10,bush_bilingual,constant_se,0.091
table_c10,vela_bilingual,constant,1.86
table_c10,vela_bilingual,constant_se,0.122
table_c10,vela_monolingual,constant,1.268
table_c10,vela_monolingual,constant_se,0.093
table_c10,coffman_bilingual,constant,1.072
table_c10,coffman_bilingual,constant_se,0.094
table_c10,coffman_monolingual,constant,1.483
table_c10,coffman_monolingual,constant_se,0.097
table_c10,bush_bilingual,N,1858
table_c10,vela_bilingual,N,1680
table_c10,vela_monolingual,N,1336
table_c10,coffman_bilingual,N,1680
table_c10,coffman_monolingual,N,1337
table_c10,bush_bilingual,log_likelihood,-1068.77
table_c10,vela_bilingual,log_likelihood,-672.905
table_c10,vela_monolingual,log_likelihood,-791.57
table_c10,coffman_bilingual,log_likelihood,-960.473
table_c10,coffman_monolingual,log_likelihood,-742.389
table_c10,bush_bilingual,aic,2143.54
table_c10,vela_bilingual,aic,1351.811
table_c10,vela_monolingual,aic,1587.141
table_c10,coffman_bilingual,aic,1926.946
table_c10,coffman_monolingual,aic,1488.777
table_3,balance,chi_sq,7.2578
table_3,balance,df,7
table_3,balance,p_value,0.4025
table_3,experiment_1_bush_bilingual_english_survey,english_ad,462
table_3,experiment_1_bush_bilingual_english_survey,spanish_ad,488
table_3,experiment_1_bush_bilingual_spanish_survey,english_ad,452
table_3,experiment_1_bush_bilingual_spanish_survey,spanish_ad,460
table_3,experiment_2_vela_bilingual_english_survey,english_ad,437
table_3,experiment_2_vela_bilingual_english_survey,spanish_ad,442
table_3,experiment_2_vela_bilingual_spanish_survey,english_ad,420
table_3,experiment_2_vela_bilingual_spanish_survey,spanish_ad,382
table_3,experiment_2_vela_monolingual_english_survey,english_ad,675
table_3,experiment_2_vela_monolingual_english_survey,spanish_ad,669
table_3,experiment_3_coffman_bilingual_english_survey,english_ad,455
table_3,experiment_3_coffman_bilingual_english_survey,spanish_ad,424
table_3,experiment_3_coffman_bilingual_spanish_survey,english_ad,421
table_3,experiment_3_coffman_bilingual_spanish_survey,spanish_ad,381
table_3,experiment_3_coffman_monolingual_english_survey,english_ad,711
table_3,experiment_3_coffman_monolingual_english_survey,spanish_ad,633
