table,candidate,sample,party,outcome,term,estimate,std.error,conf.low,conf.high,n
b7,vela,monolingual,republican,vela_cares,Z_vela,-0.22561056986520722,0.0433434701954012,-0.3107734268547255,-0.14044771287568897,490
b7,coffman,monolingual,republican,coffman_cares,(Intercept),0.8786764705882357,0.01983363748105797,0.8397066044292381,0.9176463367472334,490
b7,coffman,monolingual,republican,coffman_cares,Z_coffman,-0.18142876416621695,0.03696151451232155,-0.2540521180494698,-0.10880541028296409,490
b8,vela,bilingual,democrat,conf_in_vela,(Intercept),2.0763358778625993,0.029154907465661305,2.0191258861363988,2.1335458695888,1029
b8,vela,bilingual,democrat,conf_in_vela,Z_vela,0.10980273599879063,0.0421808056156561,0.02703232957172877,0.1925731424258525,1029
b8,coffman,bilingual,democrat,conf_in_coffman,(Intercept),1.6504672897196255,0.036260758441361056,1.5793135713110371,1.721621008128214,1028
b8,coffman,bilingual,democrat,conf_in_coffman,Z_coffman,0.12843737559477597,0.0522354215905908,0.025936913978085965,0.230937837211466,1028
b8,vela,bilingual,republican,conf_in_vela,(Intercept),1.7440476190476206,0.07063857161188396,1.6050935351026074,1.8830017029926338,335
b8,vela,bilingual,republican,conf_in_vela,Z_vela,-0.07338893641288878,0.09594883252691074,-0.26213117489732846,0.11535330207155091,335
b8,coffman,bilingual,republican,conf_in_coffman,(Intercept),2.182857142857144,0.05130435646929143,2.0819356534653704,2.283778632248918,335
b8,coffman,bilingual,republican,conf_in_coffman,Z_coffman,-0.1391071428571427,0.08356617982753022,-0.3034912987333237,0.025277013019038314,335
b8,vela,monolingual,democrat,conf_in_vela,(Intercept),2.0320284697508875,0.041378100806929906,1.9507578154454608,2.113299124056314,577
b8,vela,monolingual,democrat,conf_in_vela,Z_vela,-0.18067711839953854,0.06248812578615172,-0.30340993527425175,-0.05794430152482531,577
b8,coffman,monolingual,democrat,conf_in_coffman,(Intercept),1.8949152542372862,0.04677324386125788,1.8030480090408834,1.9867824994336891,577
b8,coffman,monolingual,democrat,conf_in_coffman,Z_coffman,-0.1786031974996997,0.06671197770806629,-0.3096320744324845,-0.04757432056691485,577
b8,vela,monolingual,republican,conf_in_vela,(Intercept),1.4803149606299215,0.05164523822100104,1.3788404820757938,1.5817894391840492,490
b8,vela,monolingual,republican,conf_in_vela,Z_vela,-0.1921793674095821,0.07947848750243837,-0.3483416459350227,-0.03601708888414154,490
b8,coffman,monolingual,republican,conf_in_coffman,(Intercept),2.099264705882355,0.04331847526505065,2.0141505253390037,2.1843788864257063,489
b8,coffman,monolingual,republican,conf_in_coffman,Z_coffman,-0.4909697750067772,0.0726894066460423,-0.6337933449271133,-0.3481462050864411,489
